1: kd> .for(r $t0=0; @$t0<dwo(nt!KiServiceLimit); r $t0=@$t0+1){.printf "%y\n", nt!KiServiceTable+(dwo(nt!KiServiceTable+@$t0*4)>>4)}

nt!NtAccessCheck (fffff805`09f3b5a0)
nt!NtWorkerFactoryWorkerReady (fffff805`09f43f70)
nt!NtAcceptConnectPort (fffff805`0a30e920)
nt!NtMapUserPhysicalPagesScatter (fffff805`0a4d4060)
nt!NtWaitForSingleObject (fffff805`0a2052b0)
nt!NtCallbackReturn (fffff805`09ffca60)
nt!NtReadFile (fffff805`0a1ee2a0)
nt!NtDeviceIoControlFile (fffff805`0a2155f0)
nt!NtWriteFile (fffff805`0a1ed670)
nt!NtRemoveIoCompletion (fffff805`0a2e0be0)
nt!NtReleaseSemaphore (fffff805`0a2e0200)
nt!NtReplyWaitReceivePort (fffff805`0a20cde0)
nt!NtReplyPort (fffff805`0a2bbda0)
nt!NtSetInformationThread (fffff805`0a2144d0)
nt!NtSetEvent (fffff805`0a213bc0)
nt!NtClose (fffff805`0a204fe0)
nt!NtQueryObject (fffff805`0a1de200)
nt!NtQueryInformationFile (fffff805`0a218ba0)
nt!NtOpenKey (fffff805`0a2ee720)
nt!NtEnumerateValueKey (fffff805`0a1f6520)
nt!NtFindAtom (fffff805`0a243d00)
nt!NtQueryDefaultLocale (fffff805`0a2fa990)
nt!NtQueryKey (fffff805`0a22b490)
nt!NtQueryValueKey (fffff805`0a22bb30)
nt!NtAllocateVirtualMemory (fffff805`0a249860)
nt!NtQueryInformationProcess (fffff805`0a1e0720)
nt!NtWaitForMultipleObjects32 (fffff805`0a2ef0b0)
nt!NtWriteFileGather (fffff805`0a2f6740)
nt!NtSetInformationProcess (fffff805`0a24a960)
nt!NtCreateKey (fffff805`0a29ab10)
nt!NtFreeVirtualMemory (fffff805`0a28a4f0)
nt!NtImpersonateClientOfPort (fffff805`0a4bf0a0)
nt!NtReleaseMutant (fffff805`0a213ab0)
nt!NtQueryInformationToken (fffff805`0a21f760)
nt!NtRequestWaitReplyPort (fffff805`0a2f7d80)
nt!NtQueryVirtualMemory (fffff805`0a288ca0)
nt!NtOpenThreadToken (fffff805`0a283e10)
nt!NtQueryInformationThread (fffff805`0a20ba30)
nt!NtOpenProcess (fffff805`0a2ecb90)
nt!NtSetInformationFile (fffff805`09e2abf0)
nt!NtMapViewOfSection (fffff805`0a224010)
nt!NtAccessCheckAndAuditAlarm (fffff805`0a2b4950)
nt!NtUnmapViewOfSection (fffff805`0a3052b0)
nt!NtReplyWaitReceivePortEx (fffff805`0a20cc80)
nt!NtTerminateProcess (fffff805`0a1d5ff0)
nt!NtSetEventBoostPriority (fffff805`0a54c4d0)
nt!NtReadFileScatter (fffff805`0a2f6130)
nt!NtOpenThreadTokenEx (fffff805`0a283e30)
nt!NtOpenProcessTokenEx (fffff805`0a2845f0)
nt!NtQueryPerformanceCounter (fffff805`0a240730)
nt!NtEnumerateKey (fffff805`0a213470)
nt!NtOpenFile (fffff805`0a274590)
nt!NtDelayExecution (fffff805`0a22d3f0)
nt!NtQueryDirectoryFile (fffff805`0a2fccb0)
nt!NtQuerySystemInformation (fffff805`0a225060)
nt!NtOpenSection (fffff805`0a2edf30)
nt!NtQueryTimer (fffff805`0a54c2c0)
nt!NtFsControlFile (fffff805`0a2ee1b0)
nt!NtWriteVirtualMemory (fffff805`0a309840)
nt!NtCloseObjectAuditAlarm (fffff805`0a2fb4e0)
nt!NtDuplicateObject (fffff805`0a1f5920)
nt!NtQueryAttributesFile (fffff805`0a275420)
nt!NtClearEvent (fffff805`0a2e34f0)
nt!NtReadVirtualMemory (fffff805`0a1f7d70)
nt!NtOpenEvent (fffff805`0a2f3a80)
nt!NtAdjustPrivilegesToken (fffff805`0a26cae0)
nt!NtDuplicateToken (fffff805`0a2ba700)
nt!NtContinue (fffff805`09ff9820)
nt!NtQueryDefaultUILanguage (fffff805`0a382980)
nt!NtQueueApcThread (fffff805`0a301b30)
nt!NtYieldExecution (fffff805`09e81ee0)
nt!NtAddAtom (fffff805`0a553ca0)
nt!NtCreateEvent (fffff805`0a219f70)
nt!NtQueryVolumeInformationFile (fffff805`0a224a40)
nt!NtCreateSection (fffff805`0a284eb0)
nt!NtFlushBuffersFile (fffff805`0a2f3640)
nt!NtApphelpCacheControl (fffff805`0a1dfe30)
nt!NtCreateProcessEx (fffff805`0a504050)
nt!NtCreateThread (fffff805`0a5040f0)
nt!NtIsProcessInJob (fffff805`0a1d6860)
nt!NtProtectVirtualMemory (fffff805`0a22cdb0)
nt!NtQuerySection (fffff805`0a301600)
nt!NtResumeThread (fffff805`0a246370)
nt!NtTerminateThread (fffff805`0a2491d0)
nt!NtReadRequestData (fffff805`0a4bf1a0)
nt!NtCreateFile (fffff805`0a274600)
nt!NtQueryEvent (fffff805`0a3067b0)
nt!NtWriteRequestData (fffff805`0a4bf320)
nt!NtOpenDirectoryObject (fffff805`0a2ede60)
nt!NtAccessCheckByTypeAndAuditAlarm (fffff805`0a2b48a0)
nt!NtQuerySystemTime (fffff805`0a548d40)
nt!NtWaitForMultipleObjects (fffff805`0a20e990)
nt!NtSetInformationObject (fffff805`0a2f05f0)
nt!NtCancelIoFile (fffff805`0a2f8c40)
nt!NtTraceEvent (fffff805`09f0cd70)
nt!NtPowerInformation (fffff805`0a260030)
nt!NtSetValueKey (fffff805`0a1f0d70)
nt!NtCancelTimer (fffff805`09f282e0)
nt!NtSetTimer (fffff805`09f77490)
nt!NtAccessCheckByType (fffff805`09f439a0)
nt!NtAccessCheckByTypeResultList (fffff805`0a190f40)
nt!NtAccessCheckByTypeResultListAndAuditAlarm (fffff805`0a51e230)
nt!NtAccessCheckByTypeResultListAndAuditAlarmByHandle (fffff805`0a51e2e0)
nt!NtAcquireCrossVmMutant (fffff805`0a553dd0)
nt!NtAcquireProcessActivityReference (fffff805`0a324e00)
nt!NtAddAtomEx (fffff805`0a2faac0)
nt!NtAddBootEntry (fffff805`0a550040)
nt!NtAddDriverEntry (fffff805`0a550070)
nt!NtAdjustGroupsToken (fffff805`0a266a20)
nt!NT_DISK::GetPnpProperty (fffff805`0a3198a0)
nt!NtAlertResumeThread (fffff805`0a509660)
nt!NtAlertThread (fffff805`0a509780)
nt!NtAlertThreadByThreadId (fffff805`0a1e50b0)
